(34, 177, 76);0;0
(34, 177, 76);0;143
(34, 177, 76);0;233
(34, 177, 76);0;323
(34, 177, 76);0;413
(34, 177, 76);0;569
(34, 177, 76);0;659
(34, 177, 76);0;749
(34, 177, 76);0;839
(34, 177, 76);0;929
(34, 177, 76);0;1019
(34, 177, 76);0;1109
(34, 177, 76);0;1199
(34, 177, 76);0;1289
(34, 177, 76);0;1379
(127, 127, 127);90;1478
(127, 127, 127);90;1500
(127, 127, 127);90;1522
(127, 127, 127);180;1478
(127, 127, 127);180;1500
(127, 127, 127);180;1522
(34, 177, 76);225;839
(34, 177, 76);225;929
(34, 177, 76);225;1019
(34, 177, 76);225;1109
(127, 127, 127);270;1478
(127, 127, 127);270;1500
(127, 127, 127);270;1522
(255, 242, 0);315;777
(34, 177, 76);315;867
(34, 177, 76);315;1134
(127, 127, 127);360;1478
(127, 127, 127);360;1500
(127, 127, 127);360;1522
(163, 73, 164);403;1031
(34, 177, 76);405;839
(34, 177, 76);405;1134
(127, 127, 127);450;1478
(127, 127, 127);450;1500
(127, 127, 127);450;1522
(34, 177, 76);495;839
(34, 177, 76);495;1134
(127, 127, 127);540;1478
(127, 127, 127);540;1500
(127, 127, 127);540;1522
(34, 177, 76);585;839
(34, 177, 76);585;1134
(127, 127, 127);630;1478
(127, 127, 127);630;1500
(127, 127, 127);630;1522
(34, 177, 76);675;0
(34, 177, 76);675;232
(34, 177, 76);675;322
(34, 177, 76);675;412
(34, 177, 76);675;569
(34, 177, 76);675;659
(34, 177, 76);675;749
(34, 177, 76);675;839
(127, 127, 127);675;1134
(127, 127, 127);720;1478
(127, 127, 127);720;1500
(127, 127, 127);720;1522
(127, 127, 127);765;1134
(127, 127, 127);810;1478
(127, 127, 127);810;1500
(127, 127, 127);810;1522
(195, 195, 195);855;1140
(127, 127, 127);900;1478
(127, 127, 127);900;1500
(127, 127, 127);900;1522
(127, 127, 127);945;1134
(127, 127, 127);990;1478
(127, 127, 127);990;1500
(127, 127, 127);990;1522
(34, 177, 76);1034;987
(34, 177, 76);1034;1077
(34, 177, 76);1034;1167
(127, 127, 127);1080;1478
(127, 127, 127);1080;1500
(127, 127, 127);1080;1522
(34, 177, 76);1124;920
(34, 177, 76);1124;1257
(127, 127, 127);1170;1478
(127, 127, 127);1214;909
(127, 127, 127);1260;1478
(127, 127, 127);1304;909
(34, 177, 76);1350;1208
(34, 177, 76);1350;1298
(34, 177, 76);1350;1388
(127, 127, 127);1350;1478
(127, 127, 127);1394;909
(127, 127, 127);1440;1478
(237, 28, 36);1441;1389
(127, 127, 127);1484;909
(237, 28, 36);1530;1389
(127, 127, 127);1530;1478
(127, 127, 127);1574;909
(34, 177, 76);1598;931
(34, 177, 76);1598;1021
(34, 177, 76);1598;1081
(195, 195, 195);1603;1371
(237, 28, 36);1620;1389
(127, 127, 127);1620;1478
(127, 127, 127);1664;909
(237, 28, 36);1710;1389
(127, 127, 127);1710;1478
(195, 195, 195);1754;909
(237, 28, 36);1800;1389
(127, 127, 127);1800;1478
(127, 127, 127);1842;1270
(195, 195, 195);1844;909
(237, 28, 36);1890;1389
(127, 127, 127);1890;1478
(237, 28, 36);1980;1389
(127, 127, 127);1980;1478
(127, 127, 127);2030;661
(127, 127, 127);2060;1110
(237, 28, 36);2070;1389
(127, 127, 127);2070;1478
(237, 28, 36);2160;1389
(127, 127, 127);2160;1478
(237, 28, 36);2250;1389
(127, 127, 127);2250;1478
(127, 127, 127);2263;772
(127, 127, 127);2335;979
(237, 28, 36);2340;1389
(127, 127, 127);2340;1478
(127, 127, 127);2430;1478
(237, 28, 36);2431;1389
(127, 127, 127);2520;1478
(237, 28, 36);2521;1389
(127, 127, 127);2610;1478
(237, 28, 36);2611;1389
