(34, 177, 76);39;1253
(34, 177, 76);40;757
(112, 146, 190);48;1198
(34, 177, 76);129;1253
(34, 177, 76);130;757
(34, 177, 76);219;1253
(34, 177, 76);220;757
(34, 177, 76);309;1253
(34, 177, 76);310;757
(34, 177, 76);399;1253
(34, 177, 76);400;757
(255, 127, 39);400;1163
(200, 191, 231);414;667
(34, 177, 76);489;1253
(34, 177, 76);490;757
(255, 174, 201);506;1180
(0, 162, 232);532;433
(255, 174, 201);546;356
(34, 177, 76);579;1253
(0, 162, 232);580;757
(34, 177, 76);620;1073
(34, 177, 76);620;1163
(34, 177, 76);670;757
(34, 177, 76);760;757
(200, 191, 231);785;667
(34, 177, 76);812;1176
(255, 242, 0);823;258
(34, 177, 76);823;348
(34, 177, 76);850;757
(34, 177, 76);940;757
(34, 177, 76);1030;757
(0, 162, 232);1093;1082
(0, 162, 232);1165;300
(34, 177, 76);1319;655
(34, 177, 76);1366;1010
(34, 177, 76);1680;889
(34, 177, 76);1680;979
(34, 177, 76);1680;1069
(34, 177, 76);1680;1159
(34, 177, 76);1680;1249
(34, 177, 76);1680;1339
(255, 201, 14);1770;948
(34, 177, 76);1770;1159
(34, 177, 76);1860;889
(34, 177, 76);1860;1159
(200, 191, 231);1893;1069
(34, 177, 76);1950;1159
(34, 177, 76);1951;889
(34, 177, 76);2040;1159
(0, 162, 232);2041;889
(185, 122, 87);2130;360
(34, 177, 76);2130;1159
(34, 177, 76);2131;889
(34, 177, 76);2220;1159
(34, 177, 76);2221;889
(0, 162, 232);2310;1159
(34, 177, 76);2311;889
(34, 177, 76);2400;1159
(34, 177, 76);2401;889
(34, 177, 76);2490;1159
(34, 177, 76);2491;889
(255, 174, 201);2505;810
(34, 177, 76);2580;1159
(34, 177, 76);2580;1249
(34, 177, 76);2580;1339
(34, 177, 76);2581;0
(34, 177, 76);2581;169
(34, 177, 76);2581;259
(0, 162, 232);2581;349
(34, 177, 76);2581;439
(34, 177, 76);2581;529
(0, 162, 232);2581;619
(0, 162, 232);2581;709
(34, 177, 76);2581;799
(34, 177, 76);2581;889
(0, 162, 232);2947;1080
(34, 177, 76);3037;1080
(34, 177, 76);3306;982
(34, 177, 76);3621;1082
(185, 122, 87);3950;929
(255, 0, 0);3958;1146
(185, 122, 87);4022;584
(185, 122, 87);4028;200
